French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
car,because
aucun,no
eux,them
parlé,speak
arrivé,come
devrait,should
bébé,baby
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
donner,give
donné,given
train,train
corps,body
façon,way
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
matin,morning
tellement,so much
enfant,child
venu,came
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
aimerais,would like to
aujourd'hui,today
enfin,finally
eau,water
attendez,Wait
nouvelle,new
terre,Earth
fin,end
croire,believe
filles,girls
jouer,to play
bureau,office
